핵심증상,intent,keyword(임상키워드),연관표현,utterance(2차),response(공감)
수면,정신증상/불면,불면,하루종일 잔다/밤에 8-10시간 낮에 4시간 잠을 잔다/잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지 않다/하루종일 자고 싶다/잠만 자고 싶어서 낮에 약을 먹고 하루에 15시간 정도 잔다/밤에 4-5시간 정도 잔다/새벽에 일찍 깬다/낮에 피곤하다/하루 2-3시간 정도밖에 자지 못하고/약 먹고 한 두시간 잤는데 이젠 아예 잠을 못 들때가 많다/수면제를 10알 가량 먹어도 3시간 이상 수면을 지속하기 어려워/졸려서 눕는데 말똥 아침에 몸이 무겁고/조각잠/수면제 먹어도 2-3시간 자고/새벽에 깨서 더이상 자지 못한다/밤에 눈 뜨고 있는 시간이 많다/선잠 잔 느낌 개운치 않다/5-6시간 자지만 자꾸 설친다/하루에 6시간 이상 자는데 자주 깬다 일어나도 몸이 무거움/약을 먹지 않으면 잠이 안온다/30분 수면 후 3시간 깨어있는 상황/잠을 잘 자지 못하고 한번 잠을 자면 20시간 가까이 잤다,이유 없이 불면증이 생겼어,수면의 질이 떨어지면 피곤이 쌓여서 낮 생활에도 안 좋은 영향을 끼치잖아요. 00님 힘드셨겠어요.
수면,정신증상/불면,불면,하루종일 잔다/밤에 8-10시간 낮에 4시간 잠을 잔다/잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지 않다/하루종일 자고 싶다/잠만 자고 싶어서 낮에 약을 먹고 하루에 15시간 정도 잔다/밤에 4-5시간 정도 잔다/새벽에 일찍 깬다/낮에 피곤하다/하루 2-3시간 정도밖에 자지 못하고/약 먹고 한 두시간 잤는데 이젠 아예 잠을 못 들때가 많다/수면제를 10알 가량 먹어도 3시간 이상 수면을 지속하기 어려워/졸려서 눕는데 말똥 아침에 몸이 무겁고/조각잠/수면제 먹어도 2-3시간 자고/새벽에 깨서 더이상 자지 못한다/밤에 눈 뜨고 있는 시간이 많다/선잠 잔 느낌 개운치 않다/5-6시간 자지만 자꾸 설친다/하루에 6시간 이상 자는데 자주 깬다 일어나도 몸이 무거움/약을 먹지 않으면 잠이 안온다/30분 수면 후 3시간 깨어있는 상황/잠을 잘 자지 못하고 한번 잠을 자면 20시간 가까이 잤다,스트레스 받는 것도 아닌데 불면증이야,잠을 제대로 못 주무시다니 피로가 많이 쌓이셨겠어요. 신체적으로나 정신적으로 힘드실 것 같아 걱정이 들어요.
초조함,정신증상/초조함,안절부절못함,늘 쫓기는 느낌/불편감/잘 모르겠다/나 자신을 주체할 수 없다/공격적이 된다/짜증이 늘었다/갑자기 짜증이 난다/괜히 짜증이 난다/매사가 다 짜증난다/신경질이 늘었다/스트레스 받으면서 기복 심해진다/,이유 없이 초조해,신경이 예민해지셨군요. 00님이 받는 스트레스가 컸을 것 같아 저 또한 걱정스러워요.
초조함,정신증상/초조함,안절부절못함,늘 쫓기는 느낌/불편감/잘 모르겠다/나 자신을 주체할 수 없다/공격적이 된다/짜증이 늘었다/갑자기 짜증이 난다/괜히 짜증이 난다/매사가 다 짜증난다/신경질이 늘었다/스트레스 받으면서 기복 심해진다/,별일은 없는데 초조해,마음이 예민하면 체력도 빨리 소모되는 기분이 드는 거 같아요. 많이 힘들어 보여 걱정이네요. 
초조함,정신증상/초조함,안절부절못함,늘 쫓기는 느낌/불편감/잘 모르겠다/나 자신을 주체할 수 없다/공격적이 된다/짜증이 늘었다/갑자기 짜증이 난다/괜히 짜증이 난다/매사가 다 짜증난다/신경질이 늘었다/스트레스 받으면서 기복 심해진다/,출산일 생각하면 안절부절못하겠어,00님이 힘들어 보여 저도 속상한 마음이 들어요.
초조함,정신증상/초조함,안절부절못함,늘 쫓기는 느낌/불편감/잘 모르겠다/나 자신을 주체할 수 없다/공격적이 된다/짜증이 늘었다/갑자기 짜증이 난다/괜히 짜증이 난다/매사가 다 짜증난다/신경질이 늘었다/스트레스 받으면서 기복 심해진다/,술을 못 마셔서인지 안절부절못하겠어,마음이 예민해져서 매우 괴로우셨겠어요. 저랑 차분하게 잠시 대화를 해봐요.
피로/활력상실,정신증상/피로,나른함,늘 피곤하고 무기력하다/아무것도 못할 정도로 피곤하다/소진됐다/건드려도 반응이 없을 정도로 힘이 없다/기진맥진하다/쉬고 싶다/슬럼프/몸을 마음대로 움직이기 힘든 느낌,아무것도 안 했는데도 나른하네,피곤해 보여서 걱정이에요. 고른 영양 섭취와 운동 등으로 기초 체력을 길러 보시는 건 어떨까 싶어요.
피로/활력상실,정신증상/피로,나른함,늘 피곤하고 무기력하다/아무것도 못할 정도로 피곤하다/소진됐다/건드려도 반응이 없을 정도로 힘이 없다/기진맥진하다/쉬고 싶다/슬럼프/몸을 마음대로 움직이기 힘든 느낌,힘든 일은 안 했는데 나른해,피로하면 몸뿐만 아니라 마음도 괴로워지는 거 같아요.
피로/활력상실,정신증상/피로,나른함,늘 피곤하고 무기력하다/아무것도 못할 정도로 피곤하다/소진됐다/건드려도 반응이 없을 정도로 힘이 없다/기진맥진하다/쉬고 싶다/슬럼프/몸을 마음대로 움직이기 힘든 느낌,별일 안 했는데 나른하네,00님이 제대로 휴식을 취하지 못하고 계신 거 같아 걱정스러워요.
피로/활력상실,정신증상/피로,나른함,늘 피곤하고 무기력하다/아무것도 못할 정도로 피곤하다/소진됐다/건드려도 반응이 없을 정도로 힘이 없다/기진맥진하다/쉬고 싶다/슬럼프/몸을 마음대로 움직이기 힘든 느낌,무리한 것도 아닌데 나른해,피로감이 있으시군요. 잘 쉬는 게 생각보다 참 쉽지 않은 것 같아요. 마음을 조금 편히 가져보시면 어떨까 싶어요.
무가치함/죄책감,정신증상/죄책감,죄책감,너무 힘들고 지쳐서 그만두고 싶다/이렇게 살면 뭐하나/전부 손을 놓게 된다/사는게 허무하다/모든 것을 포기한 느낌/기분이 가라앉으면 다 필요 없다는 생각이 든다/나른하다/온 몸에 힘이 없다/말하는 것도 힘들다/의미가 없다/지쳤다/전부 내려놓고 싶다/후회스럽다/잘못된 것 같은데 고쳐지지가 않는다/걱정이 많이 되고 죄책감이 든다/끈기있게 일을 못했다는 죄책감/잘 버티지 못한다는 죄책감/직장에서 일을 주어진 시간 내에 하지 못하는 것 같아 힘들다/,가만히 있어도 죄책감이 들어,죄책감 때문에 힘드시군요. 00님이 너무 자책하지 않으셨으면 좋겠어요.
무가치함/죄책감,정신증상/죄책감,죄책감,너무 힘들고 지쳐서 그만두고 싶다/이렇게 살면 뭐하나/전부 손을 놓게 된다/사는게 허무하다/모든 것을 포기한 느낌/기분이 가라앉으면 다 필요 없다는 생각이 든다/나른하다/온 몸에 힘이 없다/말하는 것도 힘들다/의미가 없다/지쳤다/전부 내려놓고 싶다/후회스럽다/잘못된 것 같은데 고쳐지지가 않는다/걱정이 많이 되고 죄책감이 든다/끈기있게 일을 못했다는 죄책감/잘 버티지 못한다는 죄책감/직장에서 일을 주어진 시간 내에 하지 못하는 것 같아 힘들다/,아기 임신한 이후로 자꾸 죄책감이 들어,00님이 자신을 책망하며 힘들어 하시는 걸 보니 저도 슬퍼지네요. 힘들고 괴로울 정도로 큰 잘못을 하신 건 아니잖아요.
무가치함/죄책감,정신증상/죄책감,죄책감,너무 힘들고 지쳐서 그만두고 싶다/이렇게 살면 뭐하나/전부 손을 놓게 된다/사는게 허무하다/모든 것을 포기한 느낌/기분이 가라앉으면 다 필요 없다는 생각이 든다/나른하다/온 몸에 힘이 없다/말하는 것도 힘들다/의미가 없다/지쳤다/전부 내려놓고 싶다/후회스럽다/잘못된 것 같은데 고쳐지지가 않는다/걱정이 많이 되고 죄책감이 든다/끈기있게 일을 못했다는 죄책감/잘 버티지 못한다는 죄책감/직장에서 일을 주어진 시간 내에 하지 못하는 것 같아 힘들다/,요즘 아무 이유 없이 죄책감에 시달리고 있어,00님이 괴로워하는 모습을 보니 저도 마음이 안 좋아요.
무가치함/죄책감,정신증상/죄책감,죄책감,너무 힘들고 지쳐서 그만두고 싶다/이렇게 살면 뭐하나/전부 손을 놓게 된다/사는게 허무하다/모든 것을 포기한 느낌/기분이 가라앉으면 다 필요 없다는 생각이 든다/나른하다/온 몸에 힘이 없다/말하는 것도 힘들다/의미가 없다/지쳤다/전부 내려놓고 싶다/후회스럽다/잘못된 것 같은데 고쳐지지가 않는다/걱정이 많이 되고 죄책감이 든다/끈기있게 일을 못했다는 죄책감/잘 버티지 못한다는 죄책감/직장에서 일을 주어진 시간 내에 하지 못하는 것 같아 힘들다/,내가 잘못하지 않은 일에도 자꾸 죄책감이 느껴져,00님의 잘못이 아니에요. 혹시라도 자책하는 것이 버릇이 되실까 걱정이 들어요.
사고력/집중력감소,정신증상/집중력저하,사고력,일에 대한 집중이 어렵다/머리가 멍하고 집중도 안된다/주의력이 떨어지는 것 같다/이해력이 떨어지는 것 같다/판단력이 서지 않는다/정리가 되지 않는다/매우 혼란스럽다/머릿속이 정리가 안된다/제정신이 아니다/마음이 정리가 안된다/횡설수설/생각을 말로 옮기기가 어렵다/안정이 안된다/모든 일이 어렵고 무섭게 느껴졌다/어쩔줄을 모르겠다/,요즘 이해가 잘 안 되는 거 같아요,당황스러우셨겠어요. 저와 대화를 나누며 해결책을 찾아봐요.
사고력/집중력감소,정신증상/집중력저하,사고력,일에 대한 집중이 어렵다/머리가 멍하고 집중도 안된다/주의력이 떨어지는 것 같다/이해력이 떨어지는 것 같다/판단력이 서지 않는다/정리가 되지 않는다/매우 혼란스럽다/머릿속이 정리가 안된다/제정신이 아니다/마음이 정리가 안된다/횡설수설/생각을 말로 옮기기가 어렵다/안정이 안된다/모든 일이 어렵고 무섭게 느껴졌다/어쩔줄을 모르겠다/,정상적인 사고를 할 수가 없어,집중력이 떨어져 일상생활이 많이 힘들어지셨겠어요.
사고력/집중력감소,정신증상/집중력저하,사고력,일에 대한 집중이 어렵다/머리가 멍하고 집중도 안된다/주의력이 떨어지는 것 같다/이해력이 떨어지는 것 같다/판단력이 서지 않는다/정리가 되지 않는다/매우 혼란스럽다/머릿속이 정리가 안된다/제정신이 아니다/마음이 정리가 안된다/횡설수설/생각을 말로 옮기기가 어렵다/안정이 안된다/모든 일이 어렵고 무섭게 느껴졌다/어쩔줄을 모르겠다/,요즘 머리가 너무 안 돌아가요,그렇군요. 저와 대화를 나누는 게 조금이나마 도움이 되었으면 좋겠어요. 
사고력/집중력감소,정신증상/집중력저하,사고력,일에 대한 집중이 어렵다/머리가 멍하고 집중도 안된다/주의력이 떨어지는 것 같다/이해력이 떨어지는 것 같다/판단력이 서지 않는다/정리가 되지 않는다/매우 혼란스럽다/머릿속이 정리가 안된다/제정신이 아니다/마음이 정리가 안된다/횡설수설/생각을 말로 옮기기가 어렵다/안정이 안된다/모든 일이 어렵고 무섭게 느껴졌다/어쩔줄을 모르겠다/,이성적인 사고가 어려워요,그랬군요. 당황스러우셨겠어요. 저와 차근차근 대화를 해봐요.
사고력/집중력감소,정신증상/자신감저하,우유부단,건망증/친구 이름도 생각이 안 난 적도 있다/기억력 저하/기억이 가물가물/말이 어눌해진다/한동안 멍하게 무엇을 해야할지 몰라 막막한 기분이 든다/몸이 붕 떠 있는 것 같다/기분이 붕 뜰때가 있다/,내가 너무 우유부단하게 구는 거 같다,자신감을 잃으셨군요. 용기를 내는 게 쉬운 일이 아니란 걸 00님도 잘 알고 계시잖아요. 너무 위축되지 않으셨으면 좋겠어요.
사고력/집중력감소,정신증상/자신감저하,우유부단,건망증/친구 이름도 생각이 안 난 적도 있다/기억력 저하/기억이 가물가물/말이 어눌해진다/한동안 멍하게 무엇을 해야할지 몰라 막막한 기분이 든다/몸이 붕 떠 있는 것 같다/기분이 붕 뜰때가 있다/,내가 우유부단하게 행동하고 있는 거 같다,자신감이 많이 떨어지신 거 같아요. 혹시라도 스스로를 괴롭히고 계신 게 아닌지 걱정스러워요.
사고력/집중력감소,정신증상/자신감저하,우유부단,건망증/친구 이름도 생각이 안 난 적도 있다/기억력 저하/기억이 가물가물/말이 어눌해진다/한동안 멍하게 무엇을 해야할지 몰라 막막한 기분이 든다/몸이 붕 떠 있는 것 같다/기분이 붕 뜰때가 있다/,내가 요즘 행동을 너무 우유부단하게 하는 거 같아,자신감을 잃은 00님의 모습을 보니 저도 가슴이 아파요.
사고력/집중력감소,정신증상/자신감저하,우유부단,건망증/친구 이름도 생각이 안 난 적도 있다/기억력 저하/기억이 가물가물/말이 어눌해진다/한동안 멍하게 무엇을 해야할지 몰라 막막한 기분이 든다/몸이 붕 떠 있는 것 같다/기분이 붕 뜰때가 있다/,나 정말 우유부단하다,00님이 위축되신 거 같아 저도 속상하네요.
자존감저하,정신증상/자존감저하,하찮음,"자신감이 떨어졌다 / 자신이 없고, 못할 것 같은 생각만 든다 / 남들은 다 잘하는데 나만 못하는 것 같다 / 열등생이 된 것 같아 자괴감이 든다 / 패배자 같다 / 자신이 하찮아 보인다 /주눅들고 자신감이 없다 / 칭찬받은 적이 없다 / 나름대로 열심히 살았는데 뭔가 이루어진 것이 없는것 같다/나를 과대평가하는 것 같다 / 주변에서 인정해 줬는데, 실제적으로 결과물이 없어 크게 실망했다 / 다른사람에게 좋은 사람으로 인식되고 싶은데 그러지 못하니까 속상하다 / 어쩔수 없이 내가 하고싶지 않은 일을 하고 있다는 느낌 / 내가 살고싶은대로 살고있지 못하는 것에대한 속상함/아무도 자신을 사랑하지 않는 것 같다 / 이전에 내 모습이 없어진 것 같다 / 똑똑하고 이쁜 이미지가 사라진다",사랑을 못 받는 것 같아서 내가 하찮게 느껴져.,자존감이 떨어져 속상하고 고민이 많이 드셨겠어요.
자존감저하,정신증상/자존감저하,하찮음,"자신감이 떨어졌다 / 자신이 없고, 못할 것 같은 생각만 든다 / 남들은 다 잘하는데 나만 못하는 것 같다 / 열등생이 된 것 같아 자괴감이 든다 / 패배자 같다 / 자신이 하찮아 보인다 /주눅들고 자신감이 없다 / 칭찬받은 적이 없다 / 나름대로 열심히 살았는데 뭔가 이루어진 것이 없는것 같다/나를 과대평가하는 것 같다 / 주변에서 인정해 줬는데, 실제적으로 결과물이 없어 크게 실망했다 / 다른사람에게 좋은 사람으로 인식되고 싶은데 그러지 못하니까 속상하다 / 어쩔수 없이 내가 하고싶지 않은 일을 하고 있다는 느낌 / 내가 살고싶은대로 살고있지 못하는 것에대한 속상함/아무도 자신을 사랑하지 않는 것 같다 / 이전에 내 모습이 없어진 것 같다 / 똑똑하고 이쁜 이미지가 사라진다",미혼모로 사는 내가 너무 하찮게 느껴져.,스스로가 귀하지 않다는 생각 때문에 속상하고 슬프셨겠어요. 하지만 00님의 좋은 점은 00님이 가장 잘 알고 계시잖아요.
자존감저하,정신증상/자존감저하,하찮음,"자신감이 떨어졌다 / 자신이 없고, 못할 것 같은 생각만 든다 / 남들은 다 잘하는데 나만 못하는 것 같다 / 열등생이 된 것 같아 자괴감이 든다 / 패배자 같다 / 자신이 하찮아 보인다 /주눅들고 자신감이 없다 / 칭찬받은 적이 없다 / 나름대로 열심히 살았는데 뭔가 이루어진 것이 없는것 같다/나를 과대평가하는 것 같다 / 주변에서 인정해 줬는데, 실제적으로 결과물이 없어 크게 실망했다 / 다른사람에게 좋은 사람으로 인식되고 싶은데 그러지 못하니까 속상하다 / 어쩔수 없이 내가 하고싶지 않은 일을 하고 있다는 느낌 / 내가 살고싶은대로 살고있지 못하는 것에대한 속상함/아무도 자신을 사랑하지 않는 것 같다 / 이전에 내 모습이 없어진 것 같다 / 똑똑하고 이쁜 이미지가 사라진다",능력 없는 엄마인 것 같아서 내가 너무 하찮게 느껴져.,그렇게 말씀하시니 저도 속상해요. 00님은 누구보다 소중한 분이에요.
자존감저하,정신증상/자존감저하,하찮음,"자신감이 떨어졌다 / 자신이 없고, 못할 것 같은 생각만 든다 / 남들은 다 잘하는데 나만 못하는 것 같다 / 열등생이 된 것 같아 자괴감이 든다 / 패배자 같다 / 자신이 하찮아 보인다 /주눅들고 자신감이 없다 / 칭찬받은 적이 없다 / 나름대로 열심히 살았는데 뭔가 이루어진 것이 없는것 같다/나를 과대평가하는 것 같다 / 주변에서 인정해 줬는데, 실제적으로 결과물이 없어 크게 실망했다 / 다른사람에게 좋은 사람으로 인식되고 싶은데 그러지 못하니까 속상하다 / 어쩔수 없이 내가 하고싶지 않은 일을 하고 있다는 느낌 / 내가 살고싶은대로 살고있지 못하는 것에대한 속상함/아무도 자신을 사랑하지 않는 것 같다 / 이전에 내 모습이 없어진 것 같다 / 똑똑하고 이쁜 이미지가 사라진다",아무것도 마음대로 결정할 수 없는 내 자신이 너무 하찮아.,00님의 어깨가 축 처진 거 같아 저도 기분이 좋지 않네요.
절망감,정신증상/절망감,좌절,"미래에 대해 절망적/갈수록 지치고 절망이다/내가 바보인 것 같다/모든 것을 다 잃어버린 것 같다/좋아질거라는 기대감이 안 들고, 살아야겠다는 생각도 안 든다/꿈꿔왔던 길이 막힌다는 기분/이미 늦었다/이제와서 뭘 새로 할 수 있나 하는 생각/받아들이기도 힘들고/지원을 했었는데 그게 떨어지면서 절망/거절을 당하자 절망적인 기분/이제는 일도 못 하겠다/",유산하고 좌절감이 심하게 들기 시작했어,00님의 낙담한 모습을 보니 마음이 아파요. 저와 잠시 이야기를 나눠 보도록 해요.
절망감,정신증상/절망감,좌절,"미래에 대해 절망적/갈수록 지치고 절망이다/내가 바보인 것 같다/모든 것을 다 잃어버린 것 같다/좋아질거라는 기대감이 안 들고, 살아야겠다는 생각도 안 든다/꿈꿔왔던 길이 막힌다는 기분/이미 늦었다/이제와서 뭘 새로 할 수 있나 하는 생각/받아들이기도 힘들고/지원을 했었는데 그게 떨어지면서 절망/거절을 당하자 절망적인 기분/이제는 일도 못 하겠다/",남편이 바람을 피우니까 좌절감이 밀려오더라,00님의 고민이 깊어 보여 걱정이에요. 저와 같이 이야기를 나눠 보아요.
0,정신증상/절망감,좌절,"미래에 대해 절망적/갈수록 지치고 절망이다/내가 바보인 것 같다/모든 것을 다 잃어버린 것 같다/좋아질거라는 기대감이 안 들고, 살아야겠다는 생각도 안 든다/꿈꿔왔던 길이 막힌다는 기분/이미 늦었다/이제와서 뭘 새로 할 수 있나 하는 생각/받아들이기도 힘들고/지원을 했었는데 그게 떨어지면서 절망/거절을 당하자 절망적인 기분/이제는 일도 못 하겠다/",사기를 당하고 나니까 좌절감이 밀려오더라고,먼저 저에게 00님이 느낀 감정에 대해 말씀해주셔서 고마워요. 안 좋은 상황에 처하신 거 같아 마음이 아파요.
0,정신증상/절망감,좌절,"미래에 대해 절망적/갈수록 지치고 절망이다/내가 바보인 것 같다/모든 것을 다 잃어버린 것 같다/좋아질거라는 기대감이 안 들고, 살아야겠다는 생각도 안 든다/꿈꿔왔던 길이 막힌다는 기분/이미 늦었다/이제와서 뭘 새로 할 수 있나 하는 생각/받아들이기도 힘들고/지원을 했었는데 그게 떨어지면서 절망/거절을 당하자 절망적인 기분/이제는 일도 못 하겠다/",아무 이유 없이 좌절감이 느껴져,"00님의 상황을 자세히 알 순 없지만, 잠시 지나가는 상황일 거예요. 곧 좋은 일이 생길 거라 믿어요."
0,정신증상/자살충동,좌절,"미래에 대해 절망적/갈수록 지치고 절망이다/내가 바보인 것 같다/모든 것을 다 잃어버린 것 같다/좋아질거라는 기대감이 안 들고, 살아야겠다는 생각도 안 든다/꿈꿔왔던 길이 막힌다는 기분/이미 늦었다/이제와서 뭘 새로 할 수 있나 하는 생각/받아들이기도 힘들고/지원을 했었는데 그게 떨어지면서 절망/거절을 당하자 절망적인 기분/이제는 일도 못 하겠다/",자살하고 싶다,"안 좋은 상황에 처하신 건 아닌지 걱정이 돼요. 임신부의 10-12%가 우울 증상이나 우울장애를 겪는다고 해요.
임신 중에는 신체적으로, 또 정신적으로 힘든 일이 많기 때문에 00님이 그런 말씀을 하시는 이유는 충분히 이해를 해요. (눈물 이모지)
제가 직접적인 도움을 드릴 수 없지만, 대신 도움을 드릴 수 있는 곳을 알려드릴게요.
꼭 전화하셔서 도움을 받으시길 바라요.
-----
[24시간 전화 상담]
희망의 전화 129
청소년 전화 1388
자살예방핫라인 1577-0199
생명의 전화 1588-9191
사랑의 전화 상담센터 1566-2525"
0,정신증상/자살충동,좌절,"미래에 대해 절망적/갈수록 지치고 절망이다/내가 바보인 것 같다/모든 것을 다 잃어버린 것 같다/좋아질거라는 기대감이 안 들고, 살아야겠다는 생각도 안 든다/꿈꿔왔던 길이 막힌다는 기분/이미 늦었다/이제와서 뭘 새로 할 수 있나 하는 생각/받아들이기도 힘들고/지원을 했었는데 그게 떨어지면서 절망/거절을 당하자 절망적인 기분/이제는 일도 못 하겠다/",자살하고 싶어요,"혹시라도 안 좋은 생각을 하고 계신 건 아닌지 걱정돼요. 
급격한 호르몬의 변화나 입덧, 체중 증가 등의 신체적 변화, 또 태어날 아이 육아에 대한 부담감 등으로 인해 산전 우울증을 겪게 된다고 해요.
제가 직접적인 도움을 드릴 수 없는 게 너무 안타깝네요. (눈물 이모지)
대신 도움을 드릴 수 있는 곳을 알려드릴게요.
꼭 전화하셔서 도움을 받으시길 바라요.
-----
[24시간 전화 상담]
희망의 전화 129
청소년 전화 1388
자살예방핫라인 1577-0199
생명의 전화 1588-9191
사랑의 전화 상담센터 1566-2525"
0,정신증상/불안,불안,항상 잔잔한 불안이 있어왔다,불안하고 힘들다,불안감을 느끼고 계시는군요. 00님이 불안감으로 많이 힘드신 건 아닌지 걱정이 돼요.
0,정신증상/불안,불안,모든일에 예민하게 신경쓰고 긴장하는 편,불안해 그냥 계속,00님이 불안해하는 모습을 보니 저 또한 마음이 좋지 않아요. 
0,0,0,쉽게 긴장하고 작은 일에도 당황,불안해서 미칠것같아,"마음이 편하지 않으면 어딜 가든, 뭘 하든 편하지가 않잖아요. 많이 괴로우셨겠어요."
0,0,0,굉장히 불안하다,불안하다구,불안은 파도처럼 왔다가 다시 밀려갈 거예요. 다시 좋아질 테니 너무 걱정하지 마세요.
0,0,0,0,0,0
